========== 性能指标评价 ==========,,,,,,,,
,,,,,,,,
,Fx,Fy,Fz,Mx,My,Mz,,
循环类型,Mz设定值,上升沿平均值,上升沿标准差,上升沿数值列表,下降沿平均值,下降沿标准差,下降沿数值列表,|正行程平均值-反行程平均值|
正值循环,0.0,0.09452643,0.08815333,"[0.00000000, 0.10908527, 0.17449401]",0.16760061,0.05539128,"[0.10908527, 0.17449401, 0.21922254]",0.07307418
正值循环,9.8,10.09638954,0.07512715,"[10.02404252, 10.09110803, 10.17401808]",9.75763451,0.11494339,"[9.62924710, 9.79268226, 9.85097417]",0.33875503
正值循环,19.6,20.09841427,0.07116356,"[20.02045860, 20.11488793, 20.15989628]",19.40148533,0.10641764,"[19.28877985, 19.41543738, 19.50023877]",0.69692894
正值循环,29.4,29.62443485,0.09820591,"[29.51779393, 29.64436089, 29.71114973]",29.18303028,0.11223041,"[29.06195565, 29.20355055, 29.28358465]",0.44140457
正值循环,39.2,39.16863564,0.09353124,"[39.06477458, 39.19491948, 39.24621287]",39.01468109,0.11632898,"[38.88818045, 39.03880822, 39.11705459]",0.15395456
正值循环,49.0,48.82960533,0.12253790,"[48.69585754, 48.85648943, 48.93646901]",48.82960533,0.12253790,"[48.69585754, 48.85648943, 48.93646901]",0.00000000
负值循环,-49.0,-49.16751110,0.05847080,"[-49.20617346, -49.19611477, -49.10024506]",-49.16751110,0.05847080,"[-49.20617346, -49.19611477, -49.10024506]",0.00000000
负值循环,-39.2,-39.30104001,0.06346447,"[-39.35824662, -39.31210146, -39.23277196]",-39.30761647,0.04863904,"[-39.34049086, -39.33061545, -39.25174310]",0.00657646
负值循环,-29.4,-29.31582175,0.05520656,"[-29.36667741, -29.32368115, -29.25710668]",-29.47845634,0.05519682,"[-29.53807432, -29.46816559, -29.42912911]",0.16263459
负值循环,-19.6,-19.34130484,0.05956671,"[-19.39649879, -19.34925240, -19.27816333]",-19.67673904,0.08288724,"[-19.75428070, -19.68655590, -19.58938053]",0.33543420
负值循环,-9.8,-9.43889245,0.05070259,"[-9.48120899, -9.45277324, -9.38269512]",-9.71249186,0.08458998,"[-9.79405326, -9.71825436, -9.62516797]",0.27359941
负值循环,0.0,0.09880822,0.09766609,"[0.00000000, 0.10113402, 0.19529063]",0.18841090,0.08404846,"[0.10113402, 0.19529063, 0.26880806]",0.08960269
正循环标准偏差,0.10026461,,,,,,,
负循环标准偏差,0.06835760,,,,,,,
重复性,0.00401058,,,,,,,
Last记录量,0.00016042,,,,,,,
迟滞性,0.01393858,,,,,,,
,,,,,,,,
线性度数据,,,,,,,,
平均电压值,标准压力值,Y=ax+b,标准压力值-最小二乘法,数值列表
672.98900000,-19.6,-19.52842023,-0.07157977,"[681.43500000, 669.19900000, 679.05700000, 667.50500000, 675.69100000, 665.04700000]"
1014.08666667,-29.4,-29.45763764,0.05763764,"[1018.98000000, 1013.10000000, 1016.49000000, 1011.56000000, 1015.14000000, 1009.25000000]"
1355.83000000,-39.2,-39.40565016,0.20565016,"[1357.12000000, 1357.75000000, 1356.72000000, 1356.08000000, 1353.98000000, 1353.33000000]"
1696.07666667,-49.0,-49.31009530,0.31009530,"[1697.46000000, 1697.04000000, 1693.73000000]"
330.34900000,-9.8,-9.55430611,-0.24569389,"[337.85200000, 327.18000000, 335.21800000, 326.13200000, 331.99800000, 323.71400000]"
-4.36475250,0(正),0.18907810,-0.18907810,"[0.00000000, -3.78027000, -6.05441000, -7.62433000]"
-4.87067750,0(负),0.20380538,-0.20380538,"[0.00000000, -3.48767000, -6.73038000, -9.26466000]"
-675.60266667,19.6,19.72854682,-0.12854682,"[-684.81100000, -659.78800000, -688.09800000, -664.16200000, -689.66200000, -667.09500000]"
-1005.78050000,29.4,29.33989223,0.06010777,"[-1009.64000000, -994.05600000, -1014.01000000, -998.93700000, -1016.33000000, -1001.71000000]"
